CMDLINE c:\Users\phoeb\OneDrive\Documents\KTH\HPC\Computational-Astrophysics\venv\Scripts\python.exe sph.py
MEM 2.093750 1740310600.9094
MEM 9.988281 1740310601.0103
MEM 9.992188 1740310601.1106
MEM 9.992188 1740310601.2113
MEM 9.992188 1740310601.3143
MEM 9.992188 1740310601.4154
MEM 9.992188 1740310601.5159
MEM 9.992188 1740310601.6163
MEM 9.992188 1740310601.7166
MEM 9.992188 1740310601.8172
MEM 9.992188 1740310601.9175
MEM 9.992188 1740310602.0177
MEM 9.992188 1740310602.1183
MEM 9.992188 1740310602.2187
MEM 9.992188 1740310602.3193
MEM 9.992188 1740310602.4195
MEM 9.992188 1740310602.5202
MEM 9.992188 1740310602.6207
MEM 9.992188 1740310602.7219
MEM 9.992188 1740310602.8224
MEM 9.992188 1740310602.9230
MEM 9.992188 1740310603.0237
MEM 9.992188 1740310603.1252
MEM 9.992188 1740310603.2257
MEM 9.992188 1740310603.3259
MEM 9.992188 1740310603.4264
MEM 9.992188 1740310603.5268
MEM 9.992188 1740310603.6273
MEM 9.992188 1740310603.7281
MEM 9.992188 1740310603.8287
MEM 9.992188 1740310603.9292
MEM 9.992188 1740310604.0294
MEM 9.992188 1740310604.1300
MEM 9.992188 1740310604.2306
MEM 9.992188 1740310604.3333
MEM 9.992188 1740310604.4345
MEM 9.992188 1740310604.5347
MEM 9.992188 1740310604.6350
MEM 9.992188 1740310604.7352
MEM 9.992188 1740310604.8359
MEM 9.992188 1740310604.9364
MEM 9.992188 1740310605.0369
MEM 9.992188 1740310605.1371
MEM 9.992188 1740310605.2377
MEM 9.992188 1740310605.3382
MEM 9.992188 1740310605.4387
MEM 9.992188 1740310605.5394
MEM 9.992188 1740310605.6413
MEM 9.992188 1740310605.7424
MEM 9.992188 1740310605.8435
MEM 9.992188 1740310605.9440
MEM 9.992188 1740310606.0448
MEM 9.992188 1740310606.1455
MEM 9.992188 1740310606.2457
MEM 9.992188 1740310606.3465
MEM 9.992188 1740310606.4468
MEM 9.992188 1740310606.5472
MEM 9.992188 1740310606.6474
MEM 9.992188 1740310606.7476
MEM 9.992188 1740310606.8492
MEM 9.992188 1740310606.9498
MEM 9.992188 1740310607.0505
MEM 9.992188 1740310607.1508
MEM 9.992188 1740310607.2517
MEM 9.992188 1740310607.3524
MEM 9.992188 1740310607.4529
MEM 9.992188 1740310607.5532
MEM 9.992188 1740310607.6537
