CMDLINE c:\Users\phoeb\OneDrive\Documents\KTH\HPC\Computational-Astrophysics\venv\Scripts\python.exe opt_sph.py
MEM 2.101562 1740310775.6805
MEM 10.027344 1740310775.7814
MEM 10.027344 1740310775.8820
MEM 10.027344 1740310775.9824
MEM 10.027344 1740310776.0827
MEM 10.027344 1740310776.1832
MEM 10.027344 1740310776.2836
MEM 10.027344 1740310776.3840
MEM 10.027344 1740310776.4846
MEM 10.027344 1740310776.5850
MEM 10.027344 1740310776.6853
MEM 10.027344 1740310776.7856
MEM 10.027344 1740310776.8866
MEM 10.027344 1740310776.9875
MEM 10.027344 1740310777.0903
MEM 10.027344 1740310777.1907
MEM 10.027344 1740310777.2913
MEM 10.027344 1740310777.3918
MEM 10.027344 1740310777.4921
MEM 10.027344 1740310777.5927
MEM 10.027344 1740310777.6934
MEM 10.027344 1740310777.7938
MEM 10.027344 1740310777.8940
MEM 10.027344 1740310777.9954
MEM 10.027344 1740310778.0963
MEM 10.027344 1740310778.1967
MEM 10.027344 1740310778.2971
MEM 10.027344 1740310778.3974
MEM 10.027344 1740310778.4976
MEM 10.027344 1740310778.5988
MEM 10.027344 1740310778.6994
MEM 10.027344 1740310778.7999
MEM 10.027344 1740310778.9003
MEM 10.027344 1740310779.0013
MEM 10.027344 1740310779.1021
MEM 10.027344 1740310779.2026
MEM 10.027344 1740310779.3031
MEM 10.027344 1740310779.4071
MEM 10.027344 1740310779.5072
MEM 10.027344 1740310779.6075
MEM 10.027344 1740310779.7078
MEM 10.027344 1740310779.8084
MEM 10.027344 1740310779.9090
MEM 10.027344 1740310780.0093
MEM 10.027344 1740310780.1095
MEM 10.027344 1740310780.2102
MEM 10.027344 1740310780.3106
MEM 10.027344 1740310780.4113
MEM 10.027344 1740310780.5167
MEM 10.027344 1740310780.6176
MEM 10.027344 1740310780.7180
MEM 10.027344 1740310780.8182
MEM 10.027344 1740310780.9190
MEM 10.027344 1740310781.0192
MEM 10.027344 1740310781.1197
MEM 10.027344 1740310781.2223
MEM 10.027344 1740310781.3229
MEM 10.027344 1740310781.4232
MEM 10.027344 1740310781.5238
MEM 10.027344 1740310781.6242
MEM 10.027344 1740310781.7246
MEM 10.027344 1740310781.8279
MEM 10.027344 1740310781.9294
MEM 10.027344 1740310782.0301
MEM 10.027344 1740310782.1307
MEM 10.027344 1740310782.2313
MEM 10.027344 1740310782.3322
MEM 10.027344 1740310782.4327
MEM 10.027344 1740310782.5329
MEM 10.027344 1740310782.6334
MEM 10.027344 1740310782.7340
MEM 10.027344 1740310782.8342
MEM 10.027344 1740310782.9345
MEM 10.027344 1740310783.0349
MEM 10.027344 1740310783.1354
MEM 10.027344 1740310783.2449
MEM 10.027344 1740310783.3464
MEM 10.027344 1740310783.4467
MEM 10.027344 1740310783.5469
