CMDLINE c:\Users\rmare\AppData\Local\Programs\Python\Python311\python.exe sph.py
MEM 2.000000 1738766379.6109
MEM 13.660156 1738766379.7128
MEM 21.464844 1738766379.8135
MEM 27.105469 1738766379.9142
MEM 29.851562 1738766380.0152
MEM 35.621094 1738766380.1155
MEM 38.101562 1738766380.2161
MEM 42.488281 1738766380.3167
MEM 46.570312 1738766380.4171
MEM 49.695312 1738766380.5173
MEM 57.015625 1738766380.6175
MEM 63.035156 1738766380.7180
MEM 68.234375 1738766380.8186
MEM 73.066406 1738766380.9188
MEM 76.726562 1738766381.0191
MEM 81.910156 1738766381.1196
MEM 83.386719 1738766381.2200
MEM 89.078125 1738766381.3206
MEM 95.835938 1738766381.4213
MEM 101.867188 1738766381.5217
MEM 111.832031 1738766381.6220
MEM 109.824219 1738766381.7228
MEM 109.761719 1738766381.8234
MEM 109.871094 1738766381.9238
MEM 103.343750 1738766382.0243
MEM 108.074219 1738766382.1248
MEM 109.750000 1738766382.2254
MEM 109.917969 1738766382.3261
MEM 111.550781 1738766382.4265
MEM 108.234375 1738766382.5271
MEM 110.679688 1738766382.6277
MEM 103.867188 1738766382.7285
MEM 108.917969 1738766382.8291
MEM 109.917969 1738766382.9296
MEM 103.449219 1738766383.0301
MEM 109.171875 1738766383.1309
MEM 108.894531 1738766383.2314
MEM 109.437500 1738766383.3319
MEM 107.566406 1738766383.4326
MEM 107.718750 1738766383.5381
MEM 111.902344 1738766383.6390
MEM 110.480469 1738766383.7395
MEM 106.144531 1738766383.8400
MEM 111.539062 1738766383.9407
MEM 111.222656 1738766384.0414
MEM 105.406250 1738766384.1423
MEM 106.906250 1738766384.2430
MEM 109.257812 1738766384.3438
MEM 110.925781 1738766384.4444
MEM 109.917969 1738766384.5451
MEM 110.472656 1738766384.6455
MEM 108.406250 1738766384.7463
MEM 110.464844 1738766384.8468
MEM 111.171875 1738766384.9476
MEM 110.679688 1738766385.0480
MEM 110.417969 1738766385.1485
MEM 110.152344 1738766385.2490
MEM 110.023438 1738766385.3495
MEM 110.476562 1738766385.4500
MEM 110.175781 1738766385.5506
MEM 106.250000 1738766385.6512
MEM 106.136719 1738766385.7519
MEM 110.207031 1738766385.8544
MEM 108.933594 1738766385.9547
MEM 112.605469 1738766386.0554
MEM 109.484375 1738766386.1561
MEM 108.679688 1738766386.2567
MEM 109.457031 1738766386.3573
MEM 109.304688 1738766386.4581
MEM 111.976562 1738766386.5585
MEM 112.714844 1738766386.6589
MEM 103.734375 1738766386.7595
MEM 107.140625 1738766386.8601
MEM 111.902344 1738766386.9606
MEM 109.691406 1738766387.0613
MEM 110.617188 1738766387.1621
MEM 109.851562 1738766387.2626
MEM 108.398438 1738766387.3635
MEM 107.269531 1738766387.4638
MEM 112.625000 1738766387.5647
MEM 111.199219 1738766387.6654
MEM 109.839844 1738766387.7658
MEM 109.457031 1738766387.8663
MEM 108.632812 1738766387.9666
MEM 110.679688 1738766388.0673
MEM 110.671875 1738766388.1680
MEM 110.472656 1738766388.2684
MEM 109.105469 1738766388.3689
MEM 110.148438 1738766388.4699
MEM 105.832031 1738766388.5702
MEM 103.343750 1738766388.6710
MEM 107.621094 1738766388.7713
MEM 109.992188 1738766388.8719
MEM 108.437500 1738766388.9725
MEM 109.656250 1738766389.0738
MEM 109.652344 1738766389.1743
MEM 109.648438 1738766389.2754
MEM 110.671875 1738766389.3759
MEM 110.062500 1738766389.4767
MEM 108.167969 1738766389.5772
MEM 106.226562 1738766389.6779
MEM 110.140625 1738766389.7786
MEM 112.234375 1738766389.8790
MEM 108.398438 1738766389.9797
MEM 110.679688 1738766390.0804
MEM 112.824219 1738766390.1811
MEM 104.683594 1738766390.2818
MEM 108.511719 1738766390.3825
MEM 109.574219 1738766390.4831
MEM 107.972656 1738766390.5839
MEM 110.265625 1738766390.6846
MEM 111.636719 1738766390.7851
MEM 106.074219 1738766390.8855
MEM 109.992188 1738766390.9860
MEM 109.437500 1738766391.0871
MEM 109.738281 1738766391.1879
MEM 109.976562 1738766391.2884
MEM 110.242188 1738766391.3889
MEM 108.531250 1738766391.4895
MEM 112.164062 1738766391.5906
MEM 104.882812 1738766391.6910
MEM 104.972656 1738766391.7914
MEM 94.832031 1738766391.8923
