CMDLINE /usr/bin/python3.11 sph.py
MEM 0.730469 1739284193.0908
MEM 21.011719 1739284193.1913
MEM 28.972656 1739284193.2917
MEM 37.757812 1739284193.3922
MEM 44.601562 1739284193.4927
MEM 49.476562 1739284193.5932
MEM 60.382812 1739284193.6959
MEM 69.957031 1739284193.7964
MEM 76.527344 1739284193.8968
MEM 79.402344 1739284193.9973
MEM 83.636719 1739284194.0977
MEM 87.261719 1739284194.1981
MEM 88.386719 1739284194.2985
MEM 97.921875 1739284194.3993
MEM 110.355469 1739284194.4997
MEM 122.765625 1739284194.6002
MEM 123.210938 1739284194.7006
MEM 122.140625 1739284194.8010
MEM 126.324219 1739284194.9016
MEM 122.199219 1739284195.0020
MEM 122.210938 1739284195.1023
MEM 126.851562 1739284195.2027
MEM 126.851562 1739284195.3031
MEM 122.292969 1739284195.4034
MEM 122.328125 1739284195.5037
MEM 122.351562 1739284195.6041
MEM 122.359375 1739284195.7045
MEM 125.511719 1739284195.8048
MEM 122.386719 1739284195.9056
MEM 122.398438 1739284196.0060
MEM 122.234375 1739284196.1064
MEM 124.308594 1739284196.2068
MEM 122.308594 1739284196.3072
MEM 122.386719 1739284196.4075
MEM 122.402344 1739284196.5079
MEM 122.429688 1739284196.6082
MEM 122.445312 1739284196.7086
MEM 124.886719 1739284196.8092
MEM 123.718750 1739284196.9096
MEM 122.468750 1739284197.0099
MEM 122.476562 1739284197.1103
MEM 122.480469 1739284197.2107
MEM 122.503906 1739284197.3110
MEM 122.503906 1739284197.4113
MEM 122.519531 1739284197.5118
MEM 122.519531 1739284197.6121
MEM 122.519531 1739284197.7127
MEM 122.519531 1739284197.8130
MEM 122.519531 1739284197.9134
MEM 122.519531 1739284198.0137
MEM 122.519531 1739284198.1141
MEM 122.519531 1739284198.2145
MEM 126.519531 1739284198.3149
MEM 127.769531 1739284198.4153
MEM 124.960938 1739284198.5156
MEM 122.519531 1739284198.6165
MEM 122.519531 1739284198.7170
MEM 122.519531 1739284198.8173
MEM 122.519531 1739284198.9177
MEM 122.519531 1739284199.0180
MEM 122.523438 1739284199.1184
MEM 122.527344 1739284199.2187
MEM 122.527344 1739284199.3190
MEM 122.535156 1739284199.4194
MEM 123.535156 1739284199.5198
MEM 124.160156 1739284199.6202
MEM 122.535156 1739284199.7206
MEM 122.332031 1739284199.8212
MEM 122.335938 1739284199.9216
MEM 122.429688 1739284200.0219
MEM 122.382812 1739284200.1222
MEM 122.363281 1739284200.2226
MEM 122.386719 1739284200.3230
MEM 124.769531 1739284200.4233
MEM 122.394531 1739284200.5236
MEM 122.429688 1739284200.6241
MEM 122.449219 1739284200.7245
MEM 122.460938 1739284200.8248
MEM 122.464844 1739284200.9254
MEM 122.480469 1739284201.0258
MEM 122.480469 1739284201.1262
MEM 122.480469 1739284201.2266
MEM 122.480469 1739284201.3269
MEM 122.480469 1739284201.4273
MEM 122.464844 1739284201.5278
MEM 122.539062 1739284201.6282
MEM 122.609375 1739284201.7285
MEM 127.359375 1739284201.8289
MEM 129.738281 1739284201.9294
MEM 122.613281 1739284202.0298
MEM 122.613281 1739284202.1301
MEM 122.640625 1739284202.2306
MEM 122.671875 1739284202.3309
MEM 126.960938 1739284202.4313
MEM 126.210938 1739284202.5317
MEM 122.710938 1739284202.6324
