CMDLINE c:\Users\phoeb\OneDrive\Documents\KTH\HPC\Computational-Astrophysics\venv\Scripts\python.exe sph.py
MEM 2.156250 1738675982.9217
MEM 8.292969 1738675983.0271
MEM 8.292969 1738675983.1274
MEM 8.292969 1738675983.2281
MEM 8.292969 1738675983.3287
MEM 8.292969 1738675983.4290
MEM 8.292969 1738675983.5294
MEM 8.292969 1738675983.6301
MEM 8.292969 1738675983.7304
MEM 8.292969 1738675983.8311
MEM 8.292969 1738675983.9317
MEM 8.292969 1738675984.0320
MEM 8.292969 1738675984.1325
MEM 8.292969 1738675984.2336
MEM 8.292969 1738675984.3342
MEM 8.292969 1738675984.4347
MEM 8.292969 1738675984.5352
MEM 8.292969 1738675984.6357
MEM 8.292969 1738675984.7366
MEM 8.292969 1738675984.8372
MEM 8.292969 1738675984.9374
MEM 8.292969 1738675985.0377
MEM 8.292969 1738675985.1381
MEM 8.292969 1738675985.2383
MEM 8.292969 1738675985.3387
MEM 8.292969 1738675985.4393
MEM 8.292969 1738675985.5397
MEM 8.292969 1738675985.6406
MEM 8.292969 1738675985.7417
MEM 8.292969 1738675985.8427
MEM 8.292969 1738675985.9435
MEM 8.292969 1738675986.0444
MEM 8.292969 1738675986.1447
MEM 8.292969 1738675986.2450
MEM 8.292969 1738675986.3458
MEM 8.292969 1738675986.4463
MEM 8.292969 1738675986.5470
MEM 8.292969 1738675986.6474
MEM 8.292969 1738675986.7479
MEM 8.292969 1738675986.8486
MEM 8.292969 1738675986.9493
MEM 8.292969 1738675987.0500
MEM 8.292969 1738675987.1506
MEM 8.292969 1738675987.2514
MEM 8.292969 1738675987.3520
MEM 8.292969 1738675987.4528
MEM 8.292969 1738675987.5531
MEM 8.292969 1738675987.6539
MEM 8.292969 1738675987.7545
MEM 8.292969 1738675987.8547
MEM 8.292969 1738675987.9550
MEM 8.292969 1738675988.0557
MEM 8.292969 1738675988.1560
MEM 8.292969 1738675988.2563
MEM 8.292969 1738675988.3566
MEM 8.292969 1738675988.4573
