42227116 function calls (41023071 primitive calls) in 23.800 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   1034/1    0.005    0.000   23.818   23.818 {built-in method builtins.exec}
        1    0.000    0.000   23.818   23.818 sph.py:1(<module>)
        1    0.075    0.075   23.313   23.313 sph.py:155(main)
      300    0.001    0.000   13.719    0.046 pyplot.py:735(pause)
      302    0.002    0.000   10.081    0.033 backend_agg.py:375(draw)
      302    0.000    0.000   10.072    0.033 artist.py:92(draw_wrapper)
42280/302    0.059    0.000   10.072    0.033 artist.py:53(draw_wrapper)
      302    0.003    0.000   10.071    0.033 figure.py:3237(draw)
      301    0.001    0.000   10.058    0.033 backend_bases.py:1876(draw_idle)
  906/302    0.005    0.000    9.948    0.033 image.py:116(_draw_list_compositing_images)
      604    0.006    0.000    9.945    0.016 _base.py:3116(draw)
     1208    0.013    0.000    8.605    0.007 axis.py:1407(draw)
9608/6008    0.021    0.000    7.279    0.001 axis.py:1596(_get_tick)
     4224    0.009    0.000    6.873    0.002 axis.py:1655(get_major_ticks)
4804/3604    0.013    0.000    5.470    0.002 axis.py:1126(set_clip_path)
     3624    0.056    0.000    5.271    0.001 axis.py:1287(_update_ticks)
3612/2412    0.126    0.000    5.268    0.002 axis.py:899(reset_ticks)
     9608    0.185    0.000    4.713    0.000 axis.py:59(__init__)
6008/3608    0.020    0.000    4.401    0.001 axis.py:534(__get__)
5104/3304    0.032    0.000    3.952    0.001 axis.py:367(__init__)
      300    0.002    0.000    3.691    0.012 backend_bases.py:2340(start_event_loop)
      300    3.689    0.012    3.689    0.012 {built-in method time.sleep}
      602    0.007    0.000    3.477    0.006 _base.py:1409(clear)
      600    0.001    0.000    3.469    0.006 pyplot.py:1373(cla)
      602    0.030    0.000    3.466    0.006 _base.py:1277(__clear)
      600    0.001    0.000    3.464    0.006 _base.py:1418(cla)
4504/2704    0.027    0.000    3.313    0.001 axis.py:428(__init__)
40840/24032    0.072    0.000    3.270    0.000 spines.py:340(get_spine_transform)
40840/24032    0.006    0.000    3.209    0.000 spines.py:203(_ensure_position_is_set)
2408/1208    0.005    0.000    3.206    0.003 spines.py:300(set_position)
     3600    0.003    0.000    2.965    0.001 _base.py:73(wrapper)
      600    0.001    0.000    2.956    0.005 axis.py:2183(set_ticks)
      600    0.003    0.000    2.955    0.005 axis.py:2165(_set_tick_locations)
     1204    0.011    0.000    2.562    0.002 axis.py:856(clear)
    29424    0.316    0.000    2.190    0.000 lines.py:287(__init__)
   123870    0.457    0.000    2.178    0.000 artist.py:1188(_update_props)
     4832    0.026    0.000    1.925    0.000 axis.py:268(draw)
    72811    0.039    0.000    1.853    0.000 artist.py:146(<lambda>)
   102838    0.034    0.000    1.849    0.000 artist.py:1226(_internal_update)
    72811    0.045    0.000    1.813    0.000 artist.py:1237(set)
47140/16520    0.027    0.000    1.711    0.000 _base.py:928(get_xaxis_transform)
41740/13520    0.024    0.000    1.592    0.000 _base.py:1010(get_yaxis_transform)
    24920    0.111    0.000    1.498    0.000 artist.py:784(set_clip_path)
    21030    0.032    0.000    1.474    0.000 text.py:104(__init__)
      123    0.002    0.000    1.458    0.012 __init__.py:1(<module>)
    59740    0.042    0.000    1.439    0.000 markers.py:220(__init__)
      301    0.170    0.001    1.329    0.004 sph.py:111(getAcc)
    59740    0.096    0.000    1.311    0.000 markers.py:299(_set_marker)
    13892    0.080    0.000    1.289    0.000 text.py:738(draw)
      901    0.053    0.000    1.221    0.001 sph.py:78(getDensity)
     3600    0.011    0.000    1.201    0.000 axis.py:1617(_copy_tick_props)
     9608    0.011    0.000    1.154    0.000 axis.py:234(set_clip_path)
    29450    0.029    0.000    1.112    0.000 patches.py:307(get_transform)
    10800    0.024    0.000    1.063    0.000 lines.py:1338(update_from)
    14500    0.197    0.000    1.058    0.000 text.py:358(_get_layout)
     2416    0.002    0.000    1.039    0.000 axis.py:1339(_get_ticklabel_bboxes)
     2416    0.009    0.000    1.033    0.000 axis.py:1343(<listcomp>)
     9664    0.052    0.000    1.023    0.000 text.py:926(get_window_extent)
      302    0.001    0.000    0.946    0.003 collections.py:1014(draw)
      302    0.004    0.000    0.940    0.003 collections.py:352(draw)
630331/10806    0.445    0.000    0.930    0.000 copy.py:128(deepcopy)
     1208    0.006    0.000    0.924    0.001 axis.py:2234(_get_tick_boxes_siblings)
    23438    0.098    0.000    0.921    0.000 text.py:157(_reset_visual_defaults)
43220/10806    0.112    0.000    0.911    0.000 copy.py:227(_deepcopy_dict)
      604    0.005    0.000    0.908    0.002 axis.py:2449(_update_label_position)
    25826    0.105    0.000    0.882    0.000 patches.py:800(get_patch_transform)
      302    0.826    0.003    0.869    0.003 {built-in method matplotlib.backends._backend_agg.draw_path_collection}
      604    0.004    0.000    0.726    0.001 axis.py:2676(_update_label_position)
      901    0.725    0.001    0.725    0.001 sph.py:12(W)
   1139/8    0.003    0.000    0.696    0.087 <frozen importlib._bootstrap>:1165(_find_and_load)
   1134/8    0.002    0.000    0.696    0.087 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
  1088/10    0.002    0.000    0.695    0.070 <frozen importlib._bootstrap>:666(_load_unlocked)
  2591/13    0.001    0.000    0.695    0.053 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
   994/10    0.001    0.000    0.695    0.070 <frozen importlib._bootstrap_external>:934(exec_module)
  1173615    0.338    0.000    0.689    0.000 __init__.py:778(__getitem__)
   633/30    0.001    0.000    0.661    0.022 {built-in method builtins.__import__}
    15100    0.085    0.000    0.651    0.000 lines.py:744(draw)
3002/1912    0.003    0.000    0.620    0.000 <frozen importlib._bootstrap>:1207(_handle_fromlist)
     1208    0.014    0.000    0.591    0.000 spines.py:142(get_window_extent)
295433/276085    0.065    0.000    0.582    0.000 {built-in method builtins.next}
    98565    0.135    0.000    0.578    0.000 copy.py:259(_reconstruct)
1662174/1491692    0.325    0.000    0.565    0.000 artist.py:315(stale)
1673622/1664622    0.268    0.000    0.557    0.000 {built-in method builtins.getattr}
   328317    0.095    0.000    0.528    0.000 artist.py:414(pchanged)
     1202    0.520    0.000    0.522    0.000 sph.py:49(getPairwiseSeparations)
    21032    0.035    0.000    0.521    0.000 text.py:194(update)
     3624    0.005    0.000    0.519    0.000 ticker.py:2226(__call__)
    94743    0.303    0.000    0.495    0.000 cbook.py:1742(normalize_kwargs)
     3624    0.008    0.000    0.478    0.000 ticker.py:2230(tick_values)
335228/333428    0.272    0.000    0.451    0.000 cbook.py:348(process)
    15040    0.115    0.000    0.448    0.000 lines.py:672(recache)
     3624    0.027    0.000    0.443    0.000 axis.py:1538(get_minorticklocs)
   254973    0.206    0.000    0.440    0.000 copy.py:66(copy)
     3624    0.061    0.000    0.440    0.000 ticker.py:2157(_raw_ticks)
     4836    0.024    0.000    0.431    0.000 backend_agg.py:185(draw_text)
    23438    0.024    0.000    0.425    0.000 text.py:1316(set_fontproperties)
138712/133875    0.043    0.000    0.421    0.000 contextlib.py:132(__enter__)
      301    0.411    0.001    0.411    0.001 sph.py:29(gradW)
    29000    0.033    0.000    0.403    0.000 text.py:65(_get_text_metrics_with_cache)
    80526    0.034    0.000    0.371    0.000 transforms.py:1340(__add__)
    21032    0.007    0.000    0.370    0.000 artist.py:1215(update)
  600/300    0.001    0.000    0.367    0.001 deprecation.py:442(wrapper)
      300    0.001    0.000    0.366    0.001 pyplot.py:3919(scatter)
      300    0.002    0.000    0.358    0.001 __init__.py:1518(inner)
      300    0.008    0.000    0.352    0.001 _axes.py:4746(scatter)
  1173941    0.243    0.000    0.352    0.000 __init__.py:698(_get)
    65718    0.024    0.000    0.348    0.000 font_manager.py:961(copy)
    60980    0.163    0.000    0.345    0.000 artist.py:179(__init__)
    80526    0.056    0.000    0.330    0.000 transforms.py:2498(composite_transform_factory)
    27062    0.028    0.000    0.328    0.000 font_manager.py:556(wrapper)
3004/2404    0.024    0.000    0.320    0.000 axis.py:1206(_set_lim)
    10208    0.007    0.000    0.315    0.000 lines.py:1035(get_path)
     7248    0.008    0.000    0.312    0.000 ticker.py:214(format_ticks)
